# WISE photometry of the Extended CALIFA sample 
# W_V=in Vega mags and W_AB=in AB mags
# Galaxy_Name   W1_V    W1_V_e    W2_V   W2_V_e     W3_V  W3_V_e     W4_V  W4_V_e   W1_AB  W1_AB_e   W2_AB  W2_AB_e   W3_AB  W3_AB_e   W4_AB  W4_AB_e
    CALIFA102    8.626  14.577    8.582  14.057    5.705  11.815    4.210   8.616   11.309  17.260   11.901  17.376   10.947  17.057   10.814  15.220
    CALIFA103   10.258  15.394   10.285  14.910    9.677  13.732    8.510  10.742   12.941  18.077   13.604  18.229   14.919  18.974   15.114  17.346
    CALIFA104    9.919  15.225    9.889  14.709    7.982  12.937    6.606   9.805   12.602  17.908   13.208  18.028   13.224  18.179   13.210  16.409
    CALIFA105   10.725  15.622   10.655  15.087    7.501  12.666    5.774   9.389   13.408  18.305   13.974  18.406   12.743  17.908   12.378  15.993
    CALIFA106   10.704  15.617   10.693  15.112    8.092  12.998    6.448   9.734   13.387  18.300   14.012  18.431   13.334  18.240   13.052  16.338
    CALIFA107    9.949  15.240    9.879  14.706    6.462  12.205    4.819   8.919   12.632  17.923   13.198  18.025   11.704  17.447   11.423  15.523
    CALIFA108   10.167  15.341   10.119  14.818    7.188  12.549    5.539   9.277   12.850  18.024   13.438  18.137   12.430  17.791   12.143  15.881
    CALIFA109   10.122  15.324   10.062  14.790    7.252  12.554    5.460   9.238   12.805  18.007   13.381  18.109   12.494  17.796   12.064  15.842
    CALIFA110   11.171  15.844   11.118  15.312    8.118  12.927    6.432   9.716   13.854  18.527   14.437  18.631   13.360  18.169   13.036  16.320
    CALIFA111   10.157  15.342    9.460  14.498    7.014  12.472    4.695   8.860   12.840  18.025   12.779  17.817   12.256  17.714   11.299  15.464
    CALIFA112    9.132  14.812    9.187  14.347    8.573  13.048    6.378   9.672   11.815  17.495   12.506  17.666   13.815  18.290   12.982  16.276
    CALIFA113    9.553  15.040    9.473  14.496    6.643  12.256    4.909   8.932   12.236  17.723   12.792  17.815   11.885  17.498   11.513  15.536
    CALIFA114    8.808  14.666    8.474  14.004    5.173  11.566    2.944   7.986   11.491  17.349   11.793  17.323   10.415  16.808    9.548  14.590
    CALIFA115    9.642  15.087    9.364  14.449    5.497  11.728    2.781   7.905   12.325  17.770   12.683  17.768   10.739  16.970    9.385  14.509
    CALIFA116   10.718  15.621   10.629  15.072    7.506  12.684    5.790   9.397   13.401  18.304   13.948  18.391   12.748  17.926   12.394  16.001
    CALIFA117   10.566  15.548   10.495  15.012    7.693  12.800    6.036   9.528   13.249  18.231   13.814  18.331   12.935  18.042   12.640  16.132
    CALIFA118    9.727  15.126    9.732  14.629    9.366  13.389    7.977  10.428   12.410  17.809   13.051  17.948   14.608  18.631   14.581  17.032
    CALIFA119    8.535  14.528    8.557  14.043    6.882  12.333    5.626   9.299   11.218  17.211   11.876  17.362   12.124  17.575   12.230  15.903
    CALIFA120    9.140  14.832    8.226  13.880    5.390  11.671    3.046   8.037   11.823  17.515   11.545  17.199   10.632  16.913    9.650  14.641
    CALIFA121    9.109  14.819    9.125  14.329    7.854  12.807    6.555   9.757   11.792  17.502   12.444  17.648   13.096  18.049   13.159  16.361
    CALIFA122   10.634  15.580   10.574  15.050    7.305  12.603    5.735   9.376   13.317  18.263   13.893  18.369   12.547  17.845   12.339  15.980
    CALIFA123    9.844  15.186    9.843  14.686    7.273  12.550    5.705   9.352   12.527  17.869   13.162  18.005   12.515  17.792   12.309  15.956
    CALIFA124   10.626  15.575   10.555  15.039    7.618  12.727    6.128   9.567   13.309  18.258   13.874  18.358   12.860  17.969   12.732  16.171
    CALIFA125   10.924  15.723   10.794  15.160    7.186  12.553    5.313   9.166   13.607  18.406   14.113  18.479   12.428  17.795   11.917  15.770
    CALIFA126    9.016  14.772    8.949  14.239    5.997  11.950    4.449   8.732   11.699  17.455   12.268  17.558   11.239  17.192   11.053  15.336
    CALIFA127    9.537  15.028    9.584  14.554    7.570  12.557    6.106   9.543   12.220  17.711   12.903  17.873   12.812  17.799   12.710  16.147
    CALIFA128   10.147  15.335   10.196  14.863    9.754  13.636    7.514  10.240   12.830  18.018   13.515  18.182   14.996  18.878   14.118  16.844
    CALIFA129   10.901  15.711   10.883  15.202    7.776  12.825    6.227   9.620   13.584  18.394   14.202  18.521   13.018  18.067   12.831  16.224
    CALIFA130   10.672  15.594   10.584  15.047    7.580  12.711    5.942   9.471   13.355  18.277   13.903  18.366   12.822  17.953   12.546  16.075
    CALIFA131    9.956  15.240    9.898  14.712    7.100  12.503    5.582   9.300   12.639  17.923   13.217  18.031   12.342  17.745   12.186  15.904
    CALIFA132   10.689  15.607   10.664  15.093    7.795  12.838    6.166   9.587   13.372  18.290   13.983  18.412   13.037  18.080   12.770  16.191
    CALIFA133   10.589  15.559   10.434  14.980    6.939  12.427    5.282   9.154   13.272  18.242   13.753  18.299   12.181  17.669   11.886  15.758
    CALIFA134    9.572  15.050    9.612  14.568    7.399  12.443    6.761   9.826   12.255  17.733   12.931  17.887   12.641  17.685   13.365  16.430
    CALIFA135    9.512  15.015    9.592  14.531    7.187  12.485    5.615   9.313   12.195  17.698   12.911  17.850   12.429  17.727   12.219  15.917
    CALIFA136    9.461  14.992    9.441  14.481    9.181  13.019    8.578  10.572   12.144  17.675   12.760  17.800   14.423  18.261   15.182  17.176
    CALIFA137    9.538  15.033    9.410  14.468    5.810  11.868    3.778   8.402   12.221  17.716   12.729  17.787   11.052  17.110   10.382  15.006
    CALIFA138    9.399  14.962    9.482  14.502    8.676  13.098   10.211  11.089   12.082  17.645   12.801  17.821   13.918  18.340   16.815  17.693
    CALIFA139    9.368  14.948    9.388  14.461    7.827  12.692    6.615   9.791   12.051  17.631   12.707  17.780   13.069  17.934   13.219  16.395
    CALIFA140    8.705  14.618    8.530  14.032    4.729  11.343    2.908   7.968   11.388  17.301   11.849  17.351    9.971  16.585    9.512  14.572
    CALIFA141   12.687  16.564   13.024  16.184   10.359  13.325    9.597  11.149   15.370  19.247   16.343  19.503   15.601  18.567   16.201  17.753
    CALIFA142    9.885  15.206    9.793  14.663    6.669  12.298    5.058   9.039   12.568  17.889   13.112  17.982   11.911  17.540   11.662  15.643
    CALIFA143   11.001  15.759   10.944  15.231    7.504  12.685    5.074   9.049   13.684  18.442   14.263  18.550   12.746  17.927   11.678  15.653
    CALIFA144    9.893  15.209    9.721  14.626    6.047  11.998    4.041   8.534   12.576  17.892   13.040  17.945   11.289  17.240   10.645  15.138
